"collectionCode","catalogNumber","decimalLatitude","decimalLongitude","error"
"Fish","170949","-4.876667",,"missing decimalLongitude"
"Fish","170953","-4.876667",,"missing decimalLongitude"
"Fish","170950","-4.876667",,"missing decimalLongitude"
"Fish","170959","-4.876667",,"missing decimalLongitude"
"Fish","170955","-4.876667",,"missing decimalLongitude"
"Fish","170957","-4.876667",,"missing decimalLongitude"
"Fish","170948","-4.876667",,"missing decimalLongitude"
"Fish","170952","-4.876667",,"missing decimalLongitude"
"Fish","170954","-4.876667",,"missing decimalLongitude"
"Fish","170951","-4.876667",,"missing decimalLongitude"
"Fish","170956","-4.876667",,"missing decimalLongitude"
"Fish","170958","-4.876667",,"missing decimalLongitude"
"Fish","170947","-4.876667",,"missing decimalLongitude"
"Fish","180031",,"130.8967","missing decimalLatitude"
"Fish","53123",,"-38.99722","missing decimalLatitude"
"Fish","176780","31.92945",,"missing decimalLongitude"
"Fish","176774","31.92945",,"missing decimalLongitude"
"Fish","176770","31.92945",,"missing decimalLongitude"
"Fish","176773","31.92945",,"missing decimalLongitude"
"Fish","176772","31.92945",,"missing decimalLongitude"
"Fish","176771","31.92945",,"missing decimalLongitude"
"Fish","176775","31.92945",,"missing decimalLongitude"
"Fish","176779","31.92945",,"missing decimalLongitude"
"Fish","176777","31.92945",,"missing decimalLongitude"
"Fish","176778","31.92945",,"missing decimalLongitude"
"Fish","176776","31.92945",,"missing decimalLongitude"
"Fish","9558",,"-89.65","missing decimalLatitude"
"Fish","9559",,"-89.65","missing decimalLatitude"
"Fish","9557",,"-89.65","missing decimalLatitude"
"Fish","11785",,"-89.65","missing decimalLatitude"
"Fish","18670",,"-49.16667","missing decimalLatitude"
"Fish","18780",,"-49.16667","missing decimalLatitude"
"Fish","6876","29.18333",,"missing decimalLongitude"
"Fish","1716","29.18333",,"missing decimalLongitude"
"Fish","1715","29.18333",,"missing decimalLongitude"
"Fish","1714","29.18333",,"missing decimalLongitude"
"Fish","1713","29.18333",,"missing decimalLongitude"
"Fish","158196","31.92945",,"missing decimalLongitude"
"Fish","158197","31.92945",,"missing decimalLongitude"
"Fish","158213","31.92945",,"missing decimalLongitude"
"Fish","158207","31.92945",,"missing decimalLongitude"
"Fish","158206","31.92945",,"missing decimalLongitude"
"Fish","158205","31.92945",,"missing decimalLongitude"
"Fish","158202","31.92945",,"missing decimalLongitude"
"Fish","158211","31.92945",,"missing decimalLongitude"
"Fish","158210","31.92945",,"missing decimalLongitude"
"Fish","158208","31.92945",,"missing decimalLongitude"
"Fish","158203","31.92945",,"missing decimalLongitude"
"Fish","158200","31.92945",,"missing decimalLongitude"
"Fish","158198","31.92945",,"missing decimalLongitude"
"Fish","158212","31.92945",,"missing decimalLongitude"
"Fish","158214","31.92945",,"missing decimalLongitude"
"Fish","158204","31.92945",,"missing decimalLongitude"
"Fish","158201","31.92945",,"missing decimalLongitude"
"Fish","158209","31.92945",,"missing decimalLongitude"
"Fish","158199","31.92945",,"missing decimalLongitude"
"Fish","158772","31.98083",,"missing decimalLongitude"
"Fish","158773","31.98083",,"missing decimalLongitude"
"Fish","158779","31.98083",,"missing decimalLongitude"
"Fish","158775","31.98083",,"missing decimalLongitude"
"Fish","158774","31.98083",,"missing decimalLongitude"
"Fish","158777","31.98083",,"missing decimalLongitude"
"Fish","158776","31.98083",,"missing decimalLongitude"
"Fish","158778","31.98083",,"missing decimalLongitude"
"Fish","158780","31.98083",,"missing decimalLongitude"
"Fish","159785","31.98083",,"missing decimalLongitude"
"Fish","159786","31.98083",,"missing decimalLongitude"
"Fish","159789","31.98083",,"missing decimalLongitude"
"Fish","159787","31.98083",,"missing decimalLongitude"
"Fish","159788","31.98083",,"missing decimalLongitude"
"Fish","159791","31.98083",,"missing decimalLongitude"
"Fish","159790","31.98083",,"missing decimalLongitude"
"Fish","159784","31.98083",,"missing decimalLongitude"
"Fish","159816","31.92945",,"missing decimalLongitude"
"Fish","159818","31.92945",,"missing decimalLongitude"
"Fish","159819","31.92945",,"missing decimalLongitude"
"Fish","159820","31.92945",,"missing decimalLongitude"
"Fish","159817","31.92945",,"missing decimalLongitude"
"Fish","159821","31.92945",,"missing decimalLongitude"
"Fish","159815","31.92945",,"missing decimalLongitude"
"Fish","159822","31.92945",,"missing decimalLongitude"
"Fish","160084","31.92945",,"missing decimalLongitude"
"Fish","160085","31.92945",,"missing decimalLongitude"
"Fish","160083","31.92945",,"missing decimalLongitude"
"Fish","160079","31.92945",,"missing decimalLongitude"
"Fish","160080","31.92945",,"missing decimalLongitude"
