"collectionCode","catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"Fish","94121",,"Asia",,
"Fish","8907",,"North America",,"Caribbean Sea"
"Fish","6314",,"North America",,"Caribbean Sea"
"Fish","6772",,"North America",,"Caribbean Sea"
"Fish","202699",,"North America",,
"Fish","202704",,"North America",,
"Fish","202703",,"North America",,
"Fish","202702",,"North America",,
"Fish","202700",,"North America",,
"Fish","202698",,"North America",,
"Fish","202697",,"North America",,
"Fish","202696",,"North America",,
"Fish","202695",,"North America",,
"Fish","202701",,"North America",,
"Fish","202690",,"North America",,
"Fish","202689",,"North America",,
"Fish","202705",,"North America",,
"Fish","202708",,"North America",,
"Fish","202706",,"North America",,
"Fish","202707",,"North America",,
"Fish","202131",,"Africa",,
"Fish","197573",,"North America",,
"Fish","197455",,"North America",,
"Fish","197461",,"North America",,
"Fish","197460",,"North America",,
"Fish","197459",,"North America",,
"Fish","197458",,"North America",,
"Fish","197457",,"North America",,
"Fish","197576",,"North America",,
"Fish","197575",,"North America",,
"Fish","197432",,"North America",,
"Fish","197433",,"North America",,
"Fish","197441",,"North America",,
"Fish","197440",,"North America",,
"Fish","197574",,"North America",,
"Fish","197439",,"North America",,
"Fish","197572",,"North America",,
"Fish","197571",,"North America",,
"Fish","197570",,"North America",,
"Fish","197569",,"North America",,
"Fish","197568",,"North America",,
"Fish","197566",,"North America",,
"Fish","197565",,"North America",,
"Fish","197564",,"North America",,
"Fish","197563",,"North America",,
"Fish","197456",,"North America",,
"Fish","197442",,"North America",,
"Fish","197600",,"North America",,
"Fish","198059",,"North America",,
"Fish","197605",,"North America",,
"Fish","197604",,"North America",,
"Fish","197603",,"North America",,
"Fish","197602",,"North America",,
"Fish","197601",,"North America",,
"Fish","197577",,"North America",,
"Fish","197435",,"North America",,
"Fish","197436",,"North America",,
"Fish","197437",,"North America",,
"Fish","197434",,"North America",,
"Fish","197438",,"North America",,
"Fish","194643",,"North America",,
"Fish","203905",,"North America",,
"Fish","203906",,"North America",,
"Fish","203908",,"North America",,
"Fish","203901",,"North America",,
"Fish","203894",,"North America",,
"Fish","203896",,"North America",,
"Fish","203897",,"North America",,
"Fish","203898",,"North America",,
"Fish","203895",,"North America",,
"Fish","203900",,"North America",,
"Fish","203902",,"North America",,
"Fish","203903",,"North America",,
"Fish","203904",,"North America",,
"Fish","203907",,"North America",,
"Fish","203893",,"North America",,
"Fish","203899",,"North America",,
"Fish","203892",,"North America",,
"Fish","203891",,"North America",,
"Fish","203890",,"North America",,
"Fish","197561",,"North America",,
"Fish","197552",,"North America",,
"Fish","197560",,"North America",,
"Fish","197558",,"North America",,
"Fish","197554",,"North America",,
"Fish","197555",,"North America",,
"Fish","197556",,"North America",,
"Fish","197557",,"North America",,
"Fish","197559",,"North America",,
"Fish","197592",,"North America",,
"Fish","197599",,"North America",,
"Fish","197598",,"North America",,
"Fish","197597",,"North America",,
"Fish","197596",,"North America",,
"Fish","197595",,"North America",,
"Fish","197587",,"North America",,
"Fish","197593",,"North America",,
"Fish","197562",,"North America",,
"Fish","197591",,"North America",,
"Fish","197590",,"North America",,
"Fish","197589",,"North America",,
"Fish","197551",,"North America",,
"Fish","197588",,"North America",,
"Fish","197550",,"North America",,
"Fish","197594",,"North America",,
"Fish","197448",,"North America",,
"Fish","197430",,"North America",,
"Fish","197427",,"North America",,
"Fish","197431",,"North America",,
"Fish","197444",,"North America",,
"Fish","197445",,"North America",,
"Fish","197449",,"North America",,
"Fish","197447",,"North America",,
"Fish","197429",,"North America",,
"Fish","197428",,"North America",,
"Fish","197454",,"North America",,
"Fish","197553",,"North America",,
"Fish","197453",,"North America",,
"Fish","197452",,"North America",,
"Fish","197451",,"North America",,
"Fish","197450",,"North America",,
"Fish","197446",,"North America",,
"Fish","197443",,"North America",,
"Fish","197579",,"North America",,
"Fish","197580",,"North America",,
"Fish","197581",,"North America",,
"Fish","197582",,"North America",,
"Fish","197583",,"North America",,
"Fish","197584",,"North America",,
"Fish","197585",,"North America",,
"Fish","197586",,"North America",,
"Fish","197426",,"North America",,
"Fish","197424",,"North America",,
"Fish","197423",,"North America",,
"Fish","197422",,"North America",,
"Fish","197421",,"North America",,
"Fish","197578",,"North America",,
"Fish","197541",,"North America",,
"Fish","197425",,"North America",,
"Fish","197537",,"North America",,
"Fish","197538",,"North America",,
"Fish","197540",,"North America",,
"Fish","197542",,"North America",,
"Fish","197543",,"North America",,
"Fish","197544",,"North America",,
"Fish","197545",,"North America",,
"Fish","197546",,"North America",,
"Fish","197547",,"North America",,
"Fish","197548",,"North America",,
"Fish","197539",,"North America",,
"Fish","197549",,"North America",,
"Fish","203650",,"North America",,
"Fish","203655",,"North America",,
"Fish","203654",,"North America",,
"Fish","203653",,"North America",,
"Fish","203652",,"North America",,
"Fish","203651",,"North America",,
"Fish","203648",,"North America",,
"Fish","203649",,"North America",,
"Fish","198340","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79168","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75898","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79155","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79165","Atlantic Ocean",,,"Atlantic Ocean"
