"collectionCode","catalogNumber","verbatimCountry","Country","verbatimStateProvince","StateProvince","verbatimCounty","County","verbatimIsland","Island"
"Fish","202705","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,
"Fish","202708","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,
"Fish","202706","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,
"Fish","202707","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,
"Fish","197920","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197927","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197925","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197924","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197923","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197921","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197928","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197919","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197918","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197917","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197913","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197914","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197915","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197922","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197930","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197931","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197932","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197933","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197934","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197926","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197935","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197929","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","197916","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,
"Fish","125558","Australia","Australia","Victoria","Victoria","Gippsland",,,
"Fish","18919","Italy","Italy","Padova","Veneto",,"Padova",,
"Fish","8914","CANADA","Canada","NEW FOUNDLAND","Newfoundland and Labrador",,"Newfoundland",,
"Fish","27995","Canada","Canada","Ontario","Ontario","Leeds","Leeds and Grenville",,
"Fish","27994","Canada","Canada","Ontario","Ontario","Leeds","Leeds and Grenville",,
"Fish","27996","Canada","Canada","Ontario","Ontario","Leeds","Leeds and Grenville",,
"Fish","27993","Canada","Canada","Ontario","Ontario","Leeds","Leeds and Grenville",,
"Fish","182710","Mexico","Mexico","Baja California","Baja California","Gulf of California",,,
"Fish","182709","Mexico","Mexico","Baja California","Baja California","Gulf of California",,,
"Fish","171645","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
"Fish","171648","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
"Fish","171643","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
"Fish","171649","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
"Fish","171642","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
"Fish","171650","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
"Fish","94035","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
"Fish","171644","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
"Fish","171641","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
"Fish","171646","Mexico","Mexico","Nuevo Leon","Nuevo León","Cadereyta","Cadereyta Jiménez",,
