"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimIslandGroup","IslandGroup","verbatimIsland","Island","verbatimCounty","County"
"Fish","194643",,,"",,"",,"Flagler","Flagler"
"Fish","203905",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203906",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203908",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203901",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203894",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203896",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203897",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203898",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203895",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203900",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203902",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203903",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203904",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203907",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203893",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203899",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203892",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203891",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","203890",,,"",,"",,"Plaquemines","Plaquemines"
"Fish","10776",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11114",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11117",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11119",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11092",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
"Fish","11112",,"North Pacific Ocean",,"Hawaiian Islands",,"Oahu","Oahu","Honolulu"
