"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimIslandGroup","IslandGroup","verbatimIsland","Island"
"Fish","194643",,,"",,"",
"Fish","203905",,,"",,"",
"Fish","203906",,,"",,"",
"Fish","203908",,,"",,"",
"Fish","203901",,,"",,"",
"Fish","203894",,,"",,"",
"Fish","203896",,,"",,"",
"Fish","203897",,,"",,"",
"Fish","203898",,,"",,"",
"Fish","203895",,,"",,"",
"Fish","203900",,,"",,"",
"Fish","203902",,,"",,"",
"Fish","203903",,,"",,"",
"Fish","203904",,,"",,"",
"Fish","203907",,,"",,"",
"Fish","203893",,,"",,"",
"Fish","203899",,,"",,"",
"Fish","203892",,,"",,"",
"Fish","203891",,,"",,"",
"Fish","203890",,,"",,"",
"Fish","201357",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201358",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201360",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201373",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201362",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201361",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201359",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201374",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201375",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201376",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201363",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201355",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201547",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201354",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201625",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201626",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201356",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201548",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201640",,"Pacific Ocean",,"Japanese Archipelago",,
"Fish","201627",,"Pacific Ocean",,"Japanese Archipelago",,
