"collectionCode","catalogNumber","verbatimCountry","Country","verbatimStateProvince","StateProvince","verbatimCounty","County","verbatimIslandGroup","IslandGroup","verbatimIsland","Island"
"Fish","6314","CUBA","Cuba","PINAR DEL RIO","Pinar del Río",,,,,,
"Fish","6772","CUBA","Cuba","PINAR DEL RIO","Pinar del Río",,,,,,
"Fish","202699","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202704","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202703","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202702","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202700","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202698","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202697","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202696","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202695","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202701","El Salvador","El Salvador","La Union","La Unión",,,,,,
"Fish","202705","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,,,
"Fish","202708","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,,,
"Fish","202706","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,,,
"Fish","202707","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,,,
"Fish","202679","Indonesia","Indonesia","Irian Jaya",,,,,,,
"Fish","197920","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197927","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197925","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197924","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197923","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197921","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197928","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197919","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197918","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197917","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197913","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197914","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197915","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197922","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197930","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197931","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197932","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197933","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197934","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197926","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197935","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197929","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","197916","Indonesia","Indonesia","Irian Jaya",,"Unknown",,,,,
"Fish","72327","Australia","Australia","Austral. Capitol T.","Australian Capital Territory",,,,,,
"Fish","80501","Australia","Australia","New South Wales ?","New South Wales",,,,,,
"Fish","18919","Italy","Italy","Padova","Veneto",,"Padova",,,,
"Fish","196422","Mexico","Mexico","San Luis Potosi","San Luis Potosí",,,,,,
"Fish","11174","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11149","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11167","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11164","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11150","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11154","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11173","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11175","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11176","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11165","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11168","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11156","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11177","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11162","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11151","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11157","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11158","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11163","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11159","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11166","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11160","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11161","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11152","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11153","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11187","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11179","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11178","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11180","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11184","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11186","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11155","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11170","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11189","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11182","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11181","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11169","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11171","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11190","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11188","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","11172","Canada","Canada","British Colombia","British Columbia",,,,,,
"Fish","8914","CANADA","Canada","NEW FOUNDLAND","Newfoundland and Labrador",,"Newfoundland",,,,
"Fish","24880","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24877","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24867","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24869","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24884","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24878","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24887","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24875","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24866","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24885","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24901","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24897","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24891","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24886","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24863","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24888","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24882","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24868","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24883","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24864","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24870","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24872","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","157265","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24873","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24879","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24871","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24889","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24876","Costa Rica","Costa Rica","Limon","Limón",,,,,,
"Fish","24898","Costa Rica","Costa Rica","Limon","Limón",,,,,,
