"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimContinent","Continent"
"Fish","8907",,"Caribbean Sea",,"North America"
"Fish","6314",,"Caribbean Sea",,"North America"
"Fish","6772",,"Caribbean Sea",,"North America"
"Fish","201357",,"Pacific Ocean","Asia","Asia"
"Fish","201358",,"Pacific Ocean","Asia","Asia"
"Fish","201360",,"Pacific Ocean","Asia","Asia"
"Fish","201373",,"Pacific Ocean","Asia","Asia"
"Fish","201362",,"Pacific Ocean","Asia","Asia"
"Fish","201361",,"Pacific Ocean","Asia","Asia"
"Fish","201359",,"Pacific Ocean","Asia","Asia"
"Fish","201374",,"Pacific Ocean","Asia","Asia"
"Fish","201375",,"Pacific Ocean","Asia","Asia"
"Fish","201376",,"Pacific Ocean","Asia","Asia"
"Fish","201363",,"Pacific Ocean","Asia","Asia"
"Fish","201355",,"Pacific Ocean","Asia","Asia"
"Fish","201547",,"Pacific Ocean","Asia","Asia"
"Fish","201354",,"Pacific Ocean","Asia","Asia"
"Fish","201625",,"Pacific Ocean","Asia","Asia"
"Fish","201626",,"Pacific Ocean","Asia","Asia"
"Fish","201356",,"Pacific Ocean","Asia","Asia"
"Fish","201548",,"Pacific Ocean","Asia","Asia"
"Fish","201640",,"Pacific Ocean","Asia","Asia"
"Fish","201627",,"Pacific Ocean","Asia","Asia"
"Fish","201550",,"Pacific Ocean","Asia","Asia"
"Fish","201551",,"Pacific Ocean","Asia","Asia"
"Fish","201552",,"Pacific Ocean","Asia","Asia"
"Fish","201367",,"Pacific Ocean","Asia","Asia"
"Fish","201369",,"Pacific Ocean","Asia","Asia"
"Fish","201546",,"Pacific Ocean","Asia","Asia"
"Fish","201549",,"Pacific Ocean","Asia","Asia"
"Fish","201364",,"Pacific Ocean","Asia","Asia"
"Fish","201371",,"Pacific Ocean","Asia","Asia"
"Fish","201372",,"Pacific Ocean","Asia","Asia"
"Fish","201545",,"Pacific Ocean","Asia","Asia"
"Fish","201544",,"Pacific Ocean","Asia","Asia"
"Fish","201543",,"Pacific Ocean","Asia","Asia"
"Fish","201542",,"Pacific Ocean","Asia","Asia"
"Fish","201365",,"Pacific Ocean","Asia","Asia"
"Fish","201370",,"Pacific Ocean","Asia","Asia"
"Fish","201464",,"Pacific Ocean","Asia","Asia"
"Fish","201639",,"Pacific Ocean","Asia","Asia"
"Fish","201641",,"Pacific Ocean","Asia","Asia"
"Fish","201642",,"Pacific Ocean","Asia","Asia"
"Fish","201377",,"Pacific Ocean","Asia","Asia"
"Fish","201368",,"Pacific Ocean","Asia","Asia"
"Fish","201624",,"Pacific Ocean","Asia","Asia"
"Fish","201638",,"Pacific Ocean","Asia","Asia"
"Fish","201465",,"Pacific Ocean","Asia","Asia"
"Fish","201500",,"Pacific Ocean","Asia","Asia"
"Fish","201463",,"Pacific Ocean","Asia","Asia"
"Fish","201462",,"Pacific Ocean","Asia","Asia"
"Fish","201461",,"Pacific Ocean","Asia","Asia"
"Fish","201460",,"Pacific Ocean","Asia","Asia"
"Fish","201459",,"Pacific Ocean","Asia","Asia"
"Fish","201458",,"Pacific Ocean","Asia","Asia"
"Fish","201457",,"Pacific Ocean","Asia","Asia"
"Fish","201466",,"Pacific Ocean","Asia","Asia"
"Fish","201593",,"Pacific Ocean","Asia","Asia"
"Fish","201629",,"Pacific Ocean","Asia","Asia"
"Fish","201630",,"Pacific Ocean","Asia","Asia"
"Fish","201631",,"Pacific Ocean","Asia","Asia"
"Fish","201632",,"Pacific Ocean","Asia","Asia"
"Fish","201633",,"Pacific Ocean","Asia","Asia"
"Fish","201634",,"Pacific Ocean","Asia","Asia"
"Fish","201635",,"Pacific Ocean","Asia","Asia"
"Fish","201637",,"Pacific Ocean","Asia","Asia"
"Fish","201594",,"Pacific Ocean","Asia","Asia"
"Fish","201636",,"Pacific Ocean","Asia","Asia"
"Fish","201592",,"Pacific Ocean","Asia","Asia"
"Fish","201591",,"Pacific Ocean","Asia","Asia"
"Fish","201504",,"Pacific Ocean","Asia","Asia"
"Fish","201503",,"Pacific Ocean","Asia","Asia"
"Fish","201502",,"Pacific Ocean","Asia","Asia"
"Fish","201501",,"Pacific Ocean","Asia","Asia"
